Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,165.949282,-85.21994,180.0,top
C2,22pF,C_0805_2012Metric,165.947975,-91.45,0.0,top
C3,22pF,C_0805_2012Metric,177.273354,-85.316402,180.0,top
C4,22pF,C_0805_2012Metric,177.281646,-91.578373,0.0,top
C5,100nF,C_0603_1608Metric,215.252,-94.869,180.0,top
C6,100nF,C_0603_1608Metric,143.002,-95.3008,-90.0,top
C7,100nF,C_0603_1608Metric,153.162,-92.697,-90.0,top
C8,100nF,C_0603_1608Metric,164.452,-82.55,0.0,top
C9,100nF,C_0603_1608Metric,169.685,-91.059,180.0,top
C10,100nF,C_0603_1608Metric,180.988,-91.059,180.0,top
C11,100nF,C_0603_1608Metric,187.706,-85.458,-90.0,top
C12,10uF,C_0805_2012Metric,220.157,-95.123,180.0,top
C13,10uF,C_0805_2012Metric,129.159,-94.295,90.0,top
C14,10uF,C_0805_2012Metric,223.139,-79.502,0.0,top
C15,100uF,C_1206_3216Metric,190.754,-93.98,0.0,top
C16,100uF,C_1206_3216Metric,211.074,-95.123,180.0,top
C17,10uF,C_0805_2012Metric,202.563364,-93.406761,180.0,top
D1,LED,LED_QBLP617-IW,217.538744,-78.994,0.0,bottom
D2,LED,LED_QBLP617-IW,203.94963,-78.994,0.0,bottom
D3,LED,LED_QBLP617-IW,190.46647,-78.994,0.0,bottom
D4,LED,LED_QBLP617-IW,173.956,-78.994,0.0,bottom
D5,LED,LED_QBLP617-IW,151.892,-78.994,0.0,bottom
D6,LED,LED_QBLP617-IW,137.668,-78.994,0.0,bottom
D7,LED,LED_QBLP617-IW,132.588,-89.2048,90.0,bottom
D8,LED,LED_QBLP617-IW,134.366,-90.1024,90.0,bottom
D9,D,D_0805_2012Metric,129.8725,-82.169,180.0,top
D10,1N5819HW-7-F,D_SOD-123,204.342451,-89.361586,0.0,top
D11,SD05_SOD323,D_SOD-523,209.1,-93.2,0.0,top
D12,SD05_SOD323,D_SOD-523,212.6,-91.0,90.0,top
D13,STS521050B331-EA,D_SOD-523,211.15,-92.05,-90.0,top
D14,LED,LED_QBLP617-IW,206.214,-95.377,180.0,top
F1,Fuse_Small,Fuseholder_Littelfuse_Nano2_154x,135.753,-94.107,0.0,top
J10,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4085,208.16,-84.607,180.0,top
J11,MEM2085-00-115-00-A_REV0.2,GCT_MEM2085-00-115-00-A_REV0.2,194.641802,-88.073761,180.0,top
Q1,BC817,SOT-323_SC-70,148.997687,-94.70424,180.0,top
R1,R,R_0805_2012Metric,149.0,-92.4,0.0,top
R2,R,R_0805_2012Metric,145.4875,-95.0,0.0,top
R3,R,R_0805_2012Metric,148.943195,-90.154639,180.0,top
R4,R,R_0805_2012Metric,148.946,-88.188,180.0,top
R5,R,R_0805_2012Metric,148.943162,-86.21946,180.0,top
R6,R,R_0805_2012Metric,148.949135,-84.257908,180.0,top
R7,R,R_0805_2012Metric,145.2395,-82.854,-90.0,top
R8,R,R_0805_2012Metric,143.2395,-82.854,-90.0,top
R9,R,R_0805_2012Metric,141.2395,-82.854,-90.0,top
R10,R,R_0805_2012Metric,139.2395,-82.854,-90.0,top
R11,R,R_0805_2012Metric,223.558227,-95.133997,0.0,top
R12,R,R_0805_2012Metric,129.8975,-80.264,180.0,top
R13,R,R_0805_2012Metric,127.127,-80.264,-90.0,top
R14,120R,R_0805_2012Metric,187.511516,-80.801141,-90.0,top
R15,120R,R_0805_2012Metric,177.296434,-82.584411,-90.0,top
R16,5.1k,R_0805_2012Metric,201.829804,-83.265128,-90.0,top
R17,5.1k,R_0805_2012Metric,209.4,-90.8,90.0,top
R18,R,R_0805_2012Metric,205.994,-93.472,0.0,top
R19,R,R_0805_2012Metric,204.122365,-91.471692,180.0,top
U1,~,SH1122,157.08,-87.6,180.0,top
U2,~,SH1122,161.70149,-87.597439,0.0,top
U4,CAP1188-1-CP-TR,QFN50P400X400X90-25N,142.8265,-88.315,180.0,top
U6,TJA1050,SOT96-1,171.597975,-80.65,-90.0,top
U7,TJA1050,SOT96-1,182.75,-80.7,-90.0,top
U8,~,D24V10F3,126.873,-90.424,180.0,top
U9,ESP32-C6-MINI-1/U,ESP32-C6-MINI-1,219.2,-87.3,-90.0,top
U10,MCP2515-xST,TSSOP-20_4.4x6.5mm_P0.65mm,171.6625,-86.775,0.0,top
U11,MCP2515-xST,TSSOP-20_4.4x6.5mm_P0.65mm,183.0125,-86.775,0.0,top
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,177.275,-88.45,90.0,top
Y4,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,165.95,-88.35,90.0,top
